benchmark,mode,dtype,acc,M,K,N,mnk,run,host_seconds,note
me_matmul_00404_818cb98a,f16->f32,f16,f32,896,192,2496,429391872,PANIC,399,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00653_58fc37f2,f16->f16,f16,f16,1856,64,3968,471334912,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00114_1990a5e0,f8E5M2->f32,f8E5M2,f32,3840,256,512,503316480,PANIC,517,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00412_c60bf787,f16->f32,f16,f32,4096,64,1984,520093696,RUN-FAIL,1618,"gem5 rc=1, no stats.txt"
me_matmul_00563_ee8d04b0,f16->f16,f16,f16,3584,64,2304,528482304,PANIC,698,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00162_187577da,f8E5M2->f32,f8E5M2,f32,1408,128,3072,553648128,PANIC,665,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00316_389b45d8,f16->f32,f16,f32,576,256,3776,556793856,PANIC,427,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00746_8aeb05fd,f16->f16,f16,f16,64,3904,2240,559677440,PANIC,613,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00509_8c40c450,f16->f32,f16,f32,3136,128,1408,565182464,PANIC,624,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00588_cb10449e,f16->f16,f16,f16,2240,128,1984,568852480,PANIC,447,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00130_aa63741d,f8E5M2->f32,f8E5M2,f32,2944,256,768,578813952,PANIC,381,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00015_3e66b368,f8E5M2->f32,f8E5M2,f32,2560,256,896,587202560,PANIC,406,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00609_9f8f6258,f16->f16,f16,f16,2752,3456,64,608698368,PANIC,539,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00345_8eb4a1fe,f16->f32,f16,f32,3264,3008,64,628359168,PANIC,710,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00434_5c757f4e,f16->f32,f16,f32,1472,128,3456,651165696,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00220_34b73835,f8E5M2->f32,f8E5M2,f32,1536,256,1792,704643072,PANIC,415,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00261_195fc54a,f8E5M2->f32,f8E5M2,f32,2560,256,1152,754974720,PANIC,430,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00589_8dbbedf5,f16->f16,f16,f16,3840,192,1024,754974720,PANIC,441,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00166_d197c9c1,f8E5M2->f32,f8E5M2,f32,2176,128,2816,784334848,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00232_57ebb1ae,f8E5M2->f32,f8E5M2,f32,768,384,2688,792723456,PANIC,582,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00329_9e47e0d2,f16->f32,f16,f32,640,384,3328,817889280,PANIC,623,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00688_27d523b7,f16->f16,f16,f16,3392,3840,64,833617920,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00463_831ccd1f,f16->f32,f16,f32,2240,2944,128,844103680,PANIC,428,panic condition !handled && !tc->getSystemPtr()->trapToGdb
