benchmark,mode,dtype,acc,M,K,N,mnk,ticks,log_ticks,host_seconds
me_matmul_00126_c85d93c8,f8E5M2->f32,f8E5M2,f32,256,1280,3712,1216348160,35498003000.0,24.292742278324365,750.0
me_matmul_00405_ec5f84d9,f16->f32,f16,f32,832,3264,448,1216610304,22265772500.0,23.826316470828953,557.0
me_matmul_00019_26cadb73,f8E5M2->f32,f8E5M2,f32,896,1536,896,1233125376,25634018000.0,23.967186134446198,586.0
me_matmul_00064_feab1cc2,f8E5M2->f32,f8E5M2,f32,2688,896,512,1233125376,43649048500.0,24.4994473205981,806.0
me_matmul_00433_aea36141,f16->f32,f16,f32,896,1536,896,1233125376,30439364500.0,24.139002492586616,770.0
me_matmul_00636_00200cad,f16->f16,f16,f16,448,1344,2048,1233125376,25451201500.0,23.960028789044685,634.0
me_matmul_00419_0b7c2abf,f16->f32,f16,f32,960,3584,384,1321205760,23641597500.0,23.886273603343277,572.0
me_matmul_00676_90f6b4d9,f16->f16,f16,f16,2112,1408,448,1332215808,24762871000.0,23.932611231191,650.0
me_matmul_00080_5ffab413,f8E5M2->f32,f8E5M2,f32,2048,2560,256,1342177280,23657751000.0,23.886956636033588,563.0
me_matmul_00263_9c09184c,f16->f32,f16,f32,1088,1216,1024,1354760192,44408822000.0,24.516703980341305,881.0
me_matmul_00639_a04c5340,f16->f16,f16,f16,1856,2880,256,1368391680,20832699000.0,23.759789656557107,643.0
me_matmul_00157_e97ce465,f8E5M2->f32,f8E5M2,f32,1920,1408,512,1384120320,33233304500.0,24.22681835764291,783.0
me_matmul_00207_296b440c,f8E5M2->f32,f8E5M2,f32,1920,1920,384,1415577600,24968350500.0,23.940874879784957,631.0
me_matmul_00131_5df1bd9d,f8E5M2->f32,f8E5M2,f32,1024,2176,640,1426063360,23630739500.0,23.88581422261958,537.0
me_matmul_00148_51284671,f8E5M2->f32,f8E5M2,f32,256,3072,2048,1610612736,28579356000.0,24.075950475954226,529.0
me_matmul_00231_473995e5,f8E5M2->f32,f8E5M2,f32,1024,1024,1536,1610612736,45271437500.0,24.535942151811053,918.0
me_matmul_00260_e2a7b4e9,f8E5M2->f32,f8E5M2,f32,1280,1664,768,1635778560,31844259000.0,24.184122951539994,639.0
me_matmul_00127_1612c105,f8E5M2->f32,f8E5M2,f32,768,2944,768,1736441856,22923896500.0,23.855445718706846,545.0
me_matmul_00043_8f56a84b,f8E5M2->f32,f8E5M2,f32,256,2048,3328,1744830464,37891793000.0,24.358000382050236,825.0
me_matmul_00033_f7be0a69,f8E5M2->f32,f8E5M2,f32,640,1152,2432,1793064960,47269125500.0,24.579123181474653,1002.0
me_matmul_00049_0c90e918,f8E5M2->f32,f8E5M2,f32,2304,3072,256,1811939328,27954717000.0,24.05385178796115,664.0
me_matmul_00193_3fc4a16a,f8E5M2->f32,f8E5M2,f32,1792,1152,896,1849688064,47105835000.0,24.575662715645944,979.0
me_matmul_00016_19e5c341,f8E5M2->f32,f8E5M2,f32,256,3712,2048,1946157056,31723429500.0,24.180321345775422,626.0
me_matmul_00200_ff0aa8a1,f8E5M2->f32,f8E5M2,f32,384,1792,2944,2025848832,41835196000.0,24.457003831755305,792.0
me_matmul_00101_76bfb226,f8E5M2->f32,f8E5M2,f32,512,3712,1152,2189426688,27332704500.0,24.03134978918035,662.0
me_matmul_00000_bef03e2f,f8E5M2->f32,f8E5M2,f32,2432,1792,512,2231369728,43109124500.0,24.48700051698613,1056.0
me_matmul_00003_c0ff4ced,f8E5M2->f32,f8E5M2,f32,1024,2944,768,2315255808,29838679500.0,24.119071358621827,629.0
me_matmul_00006_671f4ad1,f8E5M2->f32,f8E5M2,f32,2176,2944,384,2459959296,32961553000.0,24.218607658596124,721.0
me_matmul_00138_1c66f546,f8E5M2->f32,f8E5M2,f32,640,2560,1536,2516582400,36531210000.0,24.321432800665203,732.0
me_matmul_00115_c64b4828,f8E5M2->f32,f8E5M2,f32,1408,2688,768,2906652672,38194381000.0,24.365954247498685,853.0
